id_pedido,fecha_pedido,id_cliente,producto,cantidad,ciudad_envio,metodo_pago,canal_venta,calificacion_cliente,categoria,precio_unitario,total_pedido,estado_pedido
ORD-10033,2024-02-08 17:21:59,CUST-1322,Webcam HD 1080p,1,Ciudad de Mexico,Transferencia,App movil,,Accesorios,715.61,715.61,Completado
ORD-11021,2024-11-30 22:00:43,CUST-1013,Impresora Multifuncional,5,Queretaro,Transferencia,Sitio web,5.0,Oficina,2389.2,11946.0,Completado
ORD-10737,2024-05-04 09:15:47,CUST-1398,Bocina Portatil,1,Ciudad de Mexico,Tarjeta de credito,Sitio web,5.0,Accesorios,816.89,816.89,Completado
ORD-11877,2024-07-18 17:09:22,CUST-1019,Webcam HD 1080p,1,Queretaro,Tarjeta de credito,Sitio web,4.0,Accesorios,648.64,648.64,Cancelado
ORD-10514,2024-12-14 20:41:43,CUST-1081,Audifonos Bluetooth,5,Queretaro,Efectivo contra entrega,Sitio web,,Accesorios,817.67,4088.35,Completado
ORD-10671,2024-01-06 09:33:03,CUST-1045,Bocina Portatil,1,Guadalajara,Tarjeta de debito,Marketplace,4.0,Accesorios,908.61,908.61,Completado
ORD-11899,2024-04-24 23:37:30,CUST-1014,Disco SSD 1TB,1,Monterrey,Tarjeta de credito,App movil,3.0,Almacenamiento,1363.03,1363.03,Completado
ORD-10801,2024-11-06 12:25:22,CUST-1157,Audifonos Bluetooth,4,Ciudad de Mexico,PayPal,Marketplace,,Accesorios,904.65,3618.6,Completado
ORD-10369,2024-09-25 00:32:44,CUST-1267,Teclado Mecanico RGB,1,Puebla,Tarjeta de credito,App movil,4.0,Accesorios,1192.68,1192.68,Completado
ORD-11881,2024-03-07 09:27:07,CUST-1355,Router WiFi 6,3,Guadalajara,Tarjeta de credito,Sitio web,3.0,Redes,1729.01,5187.03,Cancelado
ORD-11762,2024-07-13 04:25:40,CUST-1313,"Monitor Curvo 27""",3,Puebla,Transferencia,App movil,5.0,Computo,6378.21,19134.63,Completado
ORD-11330,2024-10-31 05:39:00,CUST-1217,Mouse Inalambrico Pro,5,Ciudad de Mexico,Tarjeta de credito,App movil,5.0,Accesorios,306.66,1533.3,Completado
ORD-10863,2024-06-07 09:40:41,CUST-1246,Cargador USB-C 65W,1,Monterrey,PayPal,Sitio web,4.0,Accesorios,400.76,400.76,Completado
ORD-10042,2024-12-15 23:04:41,CUST-1075,Smartwatch Fit,1,Queretaro,Tarjeta de debito,App movil,2.0,Wearables,2431.74,2431.74,Cancelado
ORD-10214,2024-06-09 17:26:16,CUST-1123," Monitor Curvo 27""  ",2,Puebla,PayPal,Marketplace,4.0,Computo,6154.08,12308.16,Cancelado
ORD-11538,2024-12-25 11:32:54,CUST-1399,Tablet 10 pulgadas,5,Queretaro,Transferencia,Sitio web,4.0,Computo,4203.31,21016.55,Cancelado
ORD-11418,2024-08-02 21:51:47,CUST-1306,Teclado Mecanico RGB,5,Guadalajara,Tarjeta de credito,Sitio web,5.0,Accesorios,1250.27,6251.35,Completado
ORD-10535,2024-04-26 21:32:13,CUST-1273,Mouse Inalambrico Pro,1,Puebla,Tarjeta de credito,App movil,4.0,Accesorios,359.78,359.78,Completado
ORD-10317,2024-09-20 23:21:40,CUST-1048,Bocina Portatil,3,Guadalajara,Tarjeta de debito,App movil,4.0,Accesorios,843.23,2529.69,Completado
